Wavelength(nm),Flux
6842.195104848272,767548.4995195079
6840.951009601655,770614.2342597607
6839.705340342981,763221.8447455242
6838.458097072254,762099.180427801
6837.209279789473,769615.0723141067
6835.958888494639,768617.7016437023
6834.706923187749,769846.5573590504
6833.453383868806,767209.1026061142
6832.19827053781,774870.6342737677
6830.941583194758,765780.2926649702
6829.683321839653,768766.8721431356
6828.423486472494,770557.5963274693
6827.162077093281,773357.6998362915
6825.899093702014,773820.1751588963
6824.634536298693,773413.354160244
6823.368404883318,770937.5216253655
6822.100699455889,775841.5897489176
6820.831420016407,773521.6474155507
6819.560566564869,771343.4863524033
6818.288139101279,789796.1082235832
6817.014137625633,771435.7371959036
6815.7385621379335,774354.5795481405
6814.461412638181,779417.7883490241
6813.1826891263745,775927.5551909497
6811.902391602513,771584.7000973698
6810.620520066598,771034.5788359724
6809.3370745186285,779890.8446906753
6808.052054958606,776727.1294211166
6806.76546138653,776351.5773960102
6805.477293802398,776031.2122688201
6804.187552206214,776719.3588585267
6802.896236597974,773218.1356049125
6801.603346977681,778487.478328945
6800.308883345334,773327.3187571965
6799.012845700933,768177.6219180635
6797.715234044478,770031.7627085625
6796.416048375969,773103.1888529527
6795.115288695406,773111.8609892123
6793.812955002789,765962.5026732046
6792.509047298118,771827.7847958351
6791.203565581393,774279.6913029874
6789.896509852614,763421.0785642955
6788.5878801117815,772235.3553152807
6787.2776763588945,766895.1934538546
6785.965898593952,766706.5437471546
6784.6525468169575,769091.2808831402
6783.337621027909,769239.162418532
6782.021121226807,782544.1533866668
6780.703047413649,769016.4934486552
6779.383399588438,760304.2230425079
6778.062177751173,766631.0078944567
6776.739381901854,755244.8747290157
6775.415012040481,763139.786897275
6774.089068167054,760908.8104576492
6772.761550281574,768375.864472077
6771.432458384038,761819.214873555
6770.101792474449,768430.2492867912
6768.769552552806,758213.2681676131
6767.435738619109,761202.3619179531
6766.100350673359,757850.8395972295
6764.7633887155525,755439.5602993659
6763.424852745694,755618.7835065174
6762.084742763782,757585.3633575735
6760.7430587698145,749249.8210365348
6759.399800763794,759419.2197852861
6758.054968745719,754400.722363569
6756.708562715589,757791.3346866587
6755.3605826734065,751101.0246436944
6754.011028619169,750887.3554124546
6752.659900552878,757770.297911597
6751.307198474534,752379.8100891953
6749.952922384134,749088.0634540004
6748.597072281682,755322.9375863287
6747.239648167174,748482.8797011792
6745.880650040614,750505.1638362746
6744.520077901999,748085.5747256075
6743.15793175133,749975.1788462467
