Wavelength(A),Weight
3.555170517051705247e+03,1.670665383876972943e+00
3.555555555555555657e+03,1.670681505140179768e+00
3.555940594059406067e+03,1.670697626403386815e+00
3.556325632563256477e+03,1.670701751666233692e+00
3.556710671067106887e+03,1.670703688469555637e+00
3.557095709570957297e+03,1.670704152429570488e+00
3.557480748074807707e+03,1.670700164001197807e+00
3.557865786578657662e+03,1.670696175572825126e+00
3.558250825082508072e+03,1.670692185122081508e+00
3.558635863586358482e+03,1.670688193589192183e+00
3.559020902090208892e+03,1.670682886912013387e+00
3.559405940594059302e+03,1.670654669036950146e+00
3.559790979097909712e+03,1.670626451161886905e+00
3.560176017601760122e+03,1.670597722913045091e+00
3.560561056105610533e+03,1.670568388595341736e+00
3.560946094609460943e+03,1.670539054277638158e+00
3.561331133113311353e+03,1.670504589395201300e+00
3.561716171617161763e+03,1.670469289304551852e+00
3.562101210121012173e+03,1.670428031813008030e+00
3.562486248624862583e+03,1.670370067697215744e+00
3.562871287128712993e+03,1.670312103581423457e+00
3.563256325632563403e+03,1.670254109371261730e+00
3.563641364136413813e+03,1.670196100049335275e+00
3.564026402640264223e+03,1.670137124022261554e+00
3.564411441144114178e+03,1.670065016916938427e+00
3.564796479647964588e+03,1.669992909811615522e+00
3.565181518151814998e+03,1.669912972056968758e+00
3.565566556655665408e+03,1.669824254483383230e+00
3.565951595159515819e+03,1.669735536909797702e+00
3.566336633663366229e+03,1.669649900913401375e+00
3.566721672167216639e+03,1.669564708019607213e+00
3.567106710671067049e+03,1.669438943920502849e+00
3.567491749174917459e+03,1.669207360079712377e+00
3.567876787678767869e+03,1.668975776238922126e+00
3.568261826182618279e+03,1.668738941361427086e+00
3.568646864686468689e+03,1.668499635407835635e+00
3.569031903190319099e+03,1.668260441309910025e+00
3.569416941694169509e+03,1.668022485338490402e+00
3.569801980198019919e+03,1.667784529367070778e+00
3.570187018701870329e+03,1.667532501213131013e+00
3.570572057205720739e+03,1.667265573101228693e+00
3.570957095709571149e+03,1.666998644989326372e+00
3.571342134213421559e+03,1.666731749196912915e+00
3.571727172717271515e+03,1.666464857457426119e+00
3.572112211221121925e+03,1.666196373501329431e+00
3.572497249724972335e+03,1.665924018273476470e+00
3.572882288228822745e+03,1.665651663045623510e+00
3.573267326732673155e+03,1.665363046455790474e+00
3.573652365236523565e+03,1.665067269513151649e+00
3.574037403740373975e+03,1.664771590917225597e+00
3.574422442244224385e+03,1.664476826367220053e+00
3.574807480748074795e+03,1.664182061817214509e+00
3.575192519251925205e+03,1.663880737251724362e+00
3.575577557755775615e+03,1.663572852670749391e+00
3.575962596259626025e+03,1.663264968089774642e+00
3.576347634763476435e+03,1.662943213377926499e+00
3.576732673267326845e+03,1.662619966310225017e+00
3.577117711771177255e+03,1.662296973788641274e+00
3.577502750275027665e+03,1.661974559348427416e+00
3.577887788778878075e+03,1.661652144908213780e+00
3.578272827282728031e+03,1.661316546362838320e+00
3.578657865786578441e+03,1.660975525322597290e+00
3.579042904290428851e+03,1.660633729178888185e+00
3.579427942794279261e+03,1.660285752081881894e+00
3.579812981298129671e+03,1.659937774984875380e+00
3.580198019801980081e+03,1.659590182420563664e+00
3.580583058305830491e+03,1.659242953026019096e+00
3.580968096809680901e+03,1.658895723631474306e+00
3.581353135313531311e+03,1.658527223274791407e+00
3.581738173817381721e+03,1.658156801242401279e+00
3.582123212321232131e+03,1.657786339667271625e+00
3.582508250825082541e+03,1.657415794063821224e+00
3.582893289328932951e+03,1.657045248460370601e+00
3.583278327832783361e+03,1.656671578867155104e+00
3.583663366336633771e+03,1.656296711538733257e+00
3.584048404840484181e+03,1.655919659999271154e+00
3.584433443344334592e+03,1.655527418264847617e+00
3.584818481848185002e+03,1.655135176530423857e+00
3.585203520352035412e+03,1.654743258238563497e+00
3.585588558855885367e+03,1.654351628422503051e+00
3.585973597359735777e+03,1.653959998606442161e+00
3.586358635863586187e+03,1.653559579472389629e+00
3.586743674367436597e+03,1.653158513271981933e+00
3.587128712871287007e+03,1.652753833767376834e+00
3.587513751375137417e+03,1.652341958537319133e+00
3.587898789878987827e+03,1.651930083307261654e+00
3.588283828382838237e+03,1.651518580925836588e+00
3.588668866886688647e+03,1.651107211498187510e+00
3.589053905390539057e+03,1.650693947876475942e+00
3.589438943894389467e+03,1.650269048491237678e+00
3.589823982398239878e+03,1.649844149105999414e+00
3.590209020902090288e+03,1.649416521450961737e+00
3.590594059405940698e+03,1.648986596305566543e+00
3.590979097909791108e+03,1.648556671160171572e+00
3.591364136413641518e+03,1.648127091968071722e+00
3.591749174917491928e+03,1.647697532634318174e+00
3.592134213421341883e+03,1.647262289258129897e+00
3.592519251925192293e+03,1.646816423245259564e+00
3.592904290429042703e+03,1.646370557232389009e+00
3.593289328932893113e+03,1.645924510223231829e+00
3.593674367436743523e+03,1.645478403340778328e+00
3.594059405940593933e+03,1.645031842060425298e+00
3.594444444444444343e+03,1.644582790006400730e+00
3.594829482948294753e+03,1.644133737952375940e+00
3.595214521452145163e+03,1.643678616813980975e+00
3.595599559955995574e+03,1.643218671531599284e+00
3.595984598459845984e+03,1.642758726249217816e+00
3.596369636963696394e+03,1.642298895050919416e+00
3.596754675467546804e+03,1.641839068606124608e+00
3.597139713971397214e+03,1.641377321594851280e+00
3.597524752475247624e+03,1.640912202250312424e+00
3.597909790979098034e+03,1.640447082905773790e+00
3.598294829482948444e+03,1.639977412015789060e+00
3.598679867986798854e+03,1.639506348488765086e+00
3.599064906490649264e+03,1.639035281312851255e+00
3.599449944994499674e+03,1.638564196139869811e+00
3.599834983498349629e+03,1.638093110966888810e+00
3.600220022002200039e+03,1.637618801117708633e+00
3.600605060506050449e+03,1.637142072761379463e+00
3.600990099009900860e+03,1.636665344405050293e+00
3.601375137513751270e+03,1.636186425786213539e+00
3.601760176017601680e+03,1.635707449359862009e+00
3.602145214521452090e+03,1.635228404630379551e+00
3.602530253025302500e+03,1.634749247097241120e+00
3.602915291529152910e+03,1.634270089564102690e+00
3.603300330033003320e+03,1.633787939747061602e+00
3.603685368536853730e+03,1.633304945952509524e+00
3.604070407040704140e+03,1.632821881316053769e+00
3.604455445544554550e+03,1.632338500104841383e+00
3.604840484048404960e+03,1.631855118893628775e+00
